,istab,U,zi,stab,imet,Q_mg,zplume,dur,sig_x0,sig_y0,sig_z0,title,isrc,y,z,t,iloc,icurve,x,sig_x,sig_y,sig_z,zfunc,yfunc,qyz,cpeak,conc,dose,dinf
31,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,316.90000000000003,32.833199330435384,63.7545064148019,34.8785043806036,0.02287611165227141,0.006257475790116229,143.1467148360841,1.7393150230030818,0.0,47.71557161202803,47.71557161202803
32,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,326.8,33.763235065754394,65.30695465475561,35.91236922028467,0.0222175416943213,0.006108725824231677,135.72087069904453,1.6036613064268586,0.0,45.24029023301484,45.24029023301484
33,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,336.7,34.69132852680889,66.84936741744521,36.944976077210725,0.021596564546234886,0.005967779439260985,128.8835338576933,1.4821309268582534,0.0,42.96117795256443,42.96117795256443
34,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,346.6,35.61753946407026,68.38210082870111,37.976363052844924,0.021010030881998154,0.005834016147014746,122.5728594148557,1.3729049447566377,0.0,40.857619804951895,40.857619804951895
35,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,356.5,36.54192417186236,69.90548862528328,39.00656604937056,0.020455134644018207,0.0057068806505294065,116.73501210392124,1.274441151823279,0.0,38.911670701307074,38.911670701307074
36,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,366.40000000000003,37.46453577680195,71.41984414178893,40.035618953666855,0.019929367433468688,0.005585874419011858,111.32294373370077,1.185425846424675,0.0,37.107647911233585,37.107647911233585
37,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,376.3,38.385424495167754,72.92546207257166,41.06355380137838,0.019430479992686177,0.005470548544545743,106.29538404381455,1.1047350254501884,0.0,35.43179468127151,35.43179468127151
38,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,386.2,39.30463786326073,74.42262003937117,42.090400923695256,0.018956449524539933,0.0053604976577065365,101.6160032747285,1.03140296605029,0.0,33.872001091576166,33.872001091576166
39,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,396.1,40.22222094419771,75.91157999048836,43.1161890790595,0.018505451841423968,0.005255354722578817,97.25271372828232,0.9645966453174073,0.0,32.41757124276077,32.41757124276077
40,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,406.0,41.138216514068105,77.39258945334765,44.14094557168094,0.01807583753054001,0.005154786565733345,93.17708446680624,0.9035948008497823,0.0,31.05902815560208,31.05902815560208
41,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,415.90000000000003,42.052665229958336,78.86588265899366,45.16469635847088,0.017666111475088963,0.005058490020664701,89.36384860068769,0.8477707025524966,0.0,29.78794953356256,29.78794953356256
42,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,425.8,42.965605781992295,80.33168155434237,46.1874661457723,0.017274915192308938,0.004966188590631683,85.79048673217457,0.7965779090219908,0.0,28.596828910724856,28.596828910724856
43,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,435.7,43.8770750312392,81.7901967157275,47.209278477073624,0.016901011546095614,0.004877629550005958,82.43687334222784,0.7495384370288464,0.0,27.47895778074261,27.47895778074261
44,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,445.6,44.78710813508862,83.24162817538328,48.23015581273043,0.01654327146960531,0.00479258141804836,79.28497543895999,0.7062328920140647,0.0,26.428325146319995,26.428325146319995
45,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,455.5,45.6957386614806,84.6861661709029,49.25011960258368,0.016200662395884514,0.0047108317502098035,76.3185947889628,0.6662921999728367,0.0,25.439531596320933,25.439531596320933
46,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,465.40000000000003,46.60299869319881,86.12399182636204,50.269190352247506,0.015872238145353778,0.004632185201142974,73.52314664592478,0.6293906531275375,0.0,24.507715548641592,24.507715548641592
47,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,475.3,47.508918923280696,87.55527777265547,51.28738768373968,0.015557130060343531,0.004556461821037441,70.8854691648692,0.5952400382257648,0.0,23.62848972162307,23.62848972162307
48,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,485.20000000000005,48.413528742468394,88.9801887136172,52.30473039104577,0.015254539210733305,0.004483495552986843,68.3936587141862,0.5635846607582692,0.0,22.797886238062066,22.797886238062066
